dateTime,value
7/1/2023 0:00, 
7/1/2023 0:00,3.059
7/1/2023 0:15,3.068
7/1/2023 0:30,3.066
7/1/2023 0:45,3.062
7/1/2023 1:00,3.058
7/1/2023 1:15,3.047
7/1/2023 1:30,3.033
7/1/2023 1:45,3.025
7/1/2023 2:00,3.011
7/1/2023 2:15,3.001
7/1/2023 2:30,2.988
7/1/2023 2:45,2.971
7/1/2023 3:00,2.952
7/1/2023 3:15,2.941
7/1/2023 3:30,2.926
7/1/2023 3:45,2.912
7/1/2023 4:00,2.899
7/1/2023 4:15,2.878
7/1/2023 4:30,2.861
7/1/2023 4:45,2.846
7/1/2023 5:00,2.824
7/1/2023 5:15,2.812
7/1/2023 5:30,2.792
7/1/2023 5:45,2.774
7/1/2023 6:00,2.758
7/1/2023 6:15,2.741
7/1/2023 6:30,2.718
7/1/2023 6:45,2.707
7/1/2023 7:00,2.689
7/1/2023 7:15,2.67
7/1/2023 7:30,2.659
7/1/2023 7:45,2.65
7/1/2023 8:00,2.641
7/1/2023 8:15,2.64
7/1/2023 8:30,2.651
7/1/2023 8:45,2.677
7/1/2023 9:00,2.708
7/1/2023 9:15,2.767
7/1/2023 9:30,2.834
7/1/2023 9:45,2.913
7/1/2023 10:00,2.973
7/1/2023 10:15,3.032
7/1/2023 10:30,3.08
7/1/2023 10:45,3.134
7/1/2023 11:00,3.176
7/1/2023 11:15,3.213
7/1/2023 11:30,3.238
7/1/2023 11:45,3.257
7/1/2023 12:00,3.278
7/1/2023 12:15,3.289
7/1/2023 12:30,3.297
7/1/2023 12:45,3.306
7/1/2023 13:00,3.302
7/1/2023 13:15,3.3
7/1/2023 13:30,3.288
7/1/2023 13:45,3.271
7/1/2023 14:00,3.26
7/1/2023 14:15,3.243
7/1/2023 14:30,3.222
7/1/2023 14:45,3.192
7/1/2023 15:00,3.18
7/1/2023 15:15,3.152
7/1/2023 15:30,3.141
7/1/2023 15:45,3.124
7/1/2023 16:00,3.102
7/1/2023 16:15,3.092
7/1/2023 16:30,3.075
7/1/2023 16:45,3.056
7/1/2023 17:00,3.034
7/1/2023 17:15,3.021
7/1/2023 17:30,3.001
7/1/2023 17:45,2.975
7/1/2023 18:00,2.963
7/1/2023 18:15,2.945
7/1/2023 18:30,2.925
7/1/2023 18:45,2.903
7/1/2023 19:00,2.883
7/1/2023 19:15,2.861
7/1/2023 19:30,2.843
7/1/2023 19:45,2.819
7/1/2023 20:00,2.802
7/1/2023 20:15,2.782
7/1/2023 20:30,2.768
7/1/2023 20:45,2.756
7/1/2023 21:00,2.748
7/1/2023 21:15,2.744
7/1/2023 21:30,2.747
7/1/2023 21:45,2.756
7/1/2023 22:00,2.774
7/1/2023 22:15,2.807
7/1/2023 22:30,2.84
7/1/2023 22:45,2.886
7/1/2023 23:00,2.924
7/1/2023 23:15,2.964
7/1/2023 23:30,3
7/1/2023 23:45,3.03
7/2/2023 0:00,3.059
7/2/2023 0:15,3.081
7/2/2023 0:30,3.1
7/2/2023 0:45,3.112
7/2/2023 1:00,3.117
7/2/2023 1:15,3.121
7/2/2023 1:30,3.118
7/2/2023 1:45,3.112
7/2/2023 2:00,3.106
7/2/2023 2:15,3.1
7/2/2023 2:30,3.086
7/2/2023 2:45,3.069
7/2/2023 3:00,3.054
7/2/2023 3:15,3.036
7/2/2023 3:30,3.027
7/2/2023 3:45,3.006
7/2/2023 4:00,2.993
7/2/2023 4:15,2.978
7/2/2023 4:30,2.959
7/2/2023 4:45,2.943
7/2/2023 5:00,2.929
7/2/2023 5:15,2.91
7/2/2023 5:30,2.897
7/2/2023 5:45,2.871
7/2/2023 6:00,2.856
7/2/2023 6:15,2.847
7/2/2023 6:30,2.822
7/2/2023 6:45,2.802
7/2/2023 7:00,2.783
7/2/2023 7:15,2.765
7/2/2023 7:30,2.742
7/2/2023 7:45,2.731
7/2/2023 8:00,2.71
7/2/2023 8:15,2.695
7/2/2023 8:30,2.682
7/2/2023 8:45,2.668
7/2/2023 9:00,2.659
7/2/2023 9:15,2.675
7/2/2023 9:30,2.7
7/2/2023 9:45,2.752
7/2/2023 10:00,2.818
7/2/2023 10:15,2.882
7/2/2023 10:30,2.958
7/2/2023 10:45,3.012
7/2/2023 11:00,3.071
7/2/2023 11:15,3.119
7/2/2023 11:30,3.167
7/2/2023 11:45,3.218
7/2/2023 12:00,3.257
7/2/2023 12:15,3.29
7/2/2023 12:30,3.317
7/2/2023 12:45,3.337
7/2/2023 13:00,3.346
7/2/2023 13:15,3.357
7/2/2023 13:30,3.357
7/2/2023 13:45,3.354
7/2/2023 14:00,3.352
7/2/2023 14:15,3.343
7/2/2023 14:30,3.325
7/2/2023 14:45,3.305
7/2/2023 15:00,3.284
7/2/2023 15:15,3.264
7/2/2023 15:30,3.239
7/2/2023 15:45,3.223
7/2/2023 16:00,3.209
7/2/2023 16:15,3.188
7/2/2023 16:30,3.169
7/2/2023 16:45,3.152
7/2/2023 17:00,3.134
7/2/2023 17:15,3.113
7/2/2023 17:30,3.086
7/2/2023 17:45,3.066
7/2/2023 18:00,3.049
7/2/2023 18:15,3.032
7/2/2023 18:30,3.01
7/2/2023 18:45,2.987
7/2/2023 19:00,2.971
7/2/2023 19:15,2.95
7/2/2023 19:30,2.929
7/2/2023 19:45,2.911
7/2/2023 20:00,2.89
7/2/2023 20:15,2.868
7/2/2023 20:30,2.85
7/2/2023 20:45,2.828
7/2/2023 21:00,2.815
7/2/2023 21:15,2.798
7/2/2023 21:30,2.787
7/2/2023 21:45,2.777
7/2/2023 22:00,2.779
7/2/2023 22:15,2.783
