dateTime,value
8/9/2024 0:00, 
8/9/2024 0:00,8.035
8/9/2024 0:15,8.029
8/9/2024 0:30,8.025
8/9/2024 0:45,8.02
8/9/2024 1:00,8.015
8/9/2024 1:15,8.01
8/9/2024 1:30,8.005
8/9/2024 1:45,7.997
8/9/2024 2:00,7.988
8/9/2024 2:15,7.992
8/9/2024 2:30,7.988
8/9/2024 2:45,7.983
8/9/2024 3:00,7.978
8/9/2024 3:15,7.971
8/9/2024 3:30,7.965
8/9/2024 3:45,7.969
8/9/2024 4:00,7.97
8/9/2024 4:15,7.961
8/9/2024 4:30,7.959
8/9/2024 4:45,7.954
8/9/2024 5:00,7.95
8/9/2024 5:15,7.948
8/9/2024 5:30,7.946
8/9/2024 5:45,7.941
8/9/2024 6:00,7.941
8/9/2024 6:15,7.937
8/9/2024 6:30,7.939
8/9/2024 6:45,7.937
8/9/2024 7:00,7.937
8/9/2024 7:15,7.938
8/9/2024 7:30,7.939
8/9/2024 7:45,7.941
8/9/2024 8:00,7.947
8/9/2024 8:15,7.949
8/9/2024 8:30,7.956
8/9/2024 8:45,7.961
8/9/2024 9:00,7.967
8/9/2024 9:15,7.969
8/9/2024 9:30,7.977
8/9/2024 9:45,7.991
8/9/2024 10:00,8
8/9/2024 10:15,8.009
8/9/2024 10:30,8.015
8/9/2024 10:45,50
8/9/2024 11:00,8.043
8/9/2024 11:15,8.053
8/9/2024 11:30,8.07
8/9/2024 11:45,8.083
8/9/2024 12:00,8.1
8/9/2024 12:15,8.113
8/9/2024 12:30,8.127
8/9/2024 12:45,8.139
8/9/2024 13:00,8.155
8/9/2024 13:15,8.17
8/9/2024 13:30,8.184
8/9/2024 13:45,8.198
8/9/2024 14:00,8.21
8/9/2024 14:15,8.223
8/9/2024 14:30,8.235
8/9/2024 14:45,8.245
8/9/2024 15:00,8.258
8/9/2024 15:15,8.269
8/9/2024 15:30,8.282
8/9/2024 15:45,8.292
8/9/2024 16:00,8.303
8/9/2024 16:15,8.314
8/9/2024 16:30,8.323
8/9/2024 16:45,8.333
8/9/2024 17:00,8.339
8/9/2024 17:15,8.347
8/9/2024 17:30,8.354
8/9/2024 17:45,8.362
8/9/2024 18:00,8.368
8/9/2024 18:15,8.378
8/9/2024 18:30,8.383
8/9/2024 18:45,8.386
8/9/2024 19:00,8.395
8/9/2024 19:15,8.397
8/9/2024 19:30,8.402
8/9/2024 19:45,8.404
8/9/2024 20:00,8.406
8/9/2024 20:15,8.41
8/9/2024 20:30,8.41
8/9/2024 20:45,8.413
8/9/2024 21:00,8.412
8/9/2024 21:15,8.414
8/9/2024 21:30,8.411
8/9/2024 21:45,8.409
8/9/2024 22:00,8.41
8/9/2024 22:15,8.405
8/9/2024 22:30,8.403
8/9/2024 22:45,8.4
8/9/2024 23:00,8.394
8/9/2024 23:15,8.391
8/9/2024 23:30,8.389
8/9/2024 23:45,8.386
8/10/2024 0:00,8.379
