dateTime,value
2024-08-09 00:00:00, 
2024-08-09 00:00:00, 8.035
2024-08-09 00:15:00, 8.029
2024-08-09 00:30:00, 8.025
2024-08-09 00:45:00, 8.02
2024-08-09 01:00:00, 8.015
2024-08-09 01:15:00, 8.01
2024-08-09 01:30:00, 8.005
2024-08-09 01:45:00, 7.997
2024-08-09 02:00:00, 7.988
2024-08-09 02:15:00, 7.992
2024-08-09 02:30:00, 7.988
2024-08-09 02:45:00, 7.983
2024-08-09 03:00:00, 7.978
2024-08-09 03:15:00, 7.971
2024-08-09 03:30:00, 7.965
2024-08-09 03:45:00, 7.969
2024-08-09 04:00:00, 7.97
2024-08-09 04:15:00, 7.961
2024-08-09 04:30:00, 7.959
2024-08-09 04:45:00, 7.954
2024-08-09 05:00:00, 7.95
2024-08-09 05:15:00, 7.948
2024-08-09 05:30:00, 7.946
2024-08-09 05:45:00, 7.941
2024-08-09 06:00:00, 7.941
2024-08-09 06:15:00, 7.937
2024-08-09 06:30:00, 7.939
2024-08-09 06:45:00, 7.937
2024-08-09 07:00:00, 7.937
2024-08-09 07:15:00, 7.938
2024-08-09 07:30:00, 7.939
2024-08-09 07:45:00, 7.941
2024-08-09 08:00:00, 7.947
2024-08-09 08:15:00, 7.949
2024-08-09 08:30:00, 7.956
2024-08-09 08:45:00, 7.961
2024-08-09 09:00:00, 7.967
2024-08-09 09:15:00, 7.969
2024-08-09 09:30:00, 7.977
2024-08-09 09:45:00, 7.991
2024-08-09 10:00:00, 8
2024-08-09 10:15:00, 8.009
2024-08-09 10:30:00, 8.015
2024-08-09 10:45:00, 8.028
2024-08-09 11:00:00, 8.043
2024-08-09 11:15:00, 8.053
2024-08-09 11:30:00, 8.07
2024-08-09 11:45:00, 8.083
2024-08-09 12:00:00, 8.1
2024-08-09 12:15:00, 8.113
2024-08-09 12:30:00, 8.127
2024-08-09 12:45:00, 8.139
2024-08-09 13:00:00, 8.155
2024-08-09 13:15:00, 8.17
2024-08-09 13:30:00, 8.184
2024-08-09 13:45:00, 8.198
2024-08-09 14:00:00, 8.21
2024-08-09 14:15:00, 8.223
2024-08-09 14:30:00, 8.235
2024-08-09 14:45:00, 8.245
2024-08-09 15:00:00, 8.258
2024-08-09 15:15:00, 8.269
2024-08-09 15:30:00, 8.282
2024-08-09 15:45:00, 8.292
2024-08-09 16:00:00, 8.303
2024-08-09 16:15:00, 8.314
2024-08-09 16:30:00, 8.323
2024-08-09 16:45:00, 8.333
2024-08-09 17:00:00, 8.339
2024-08-09 17:15:00, 8.347
2024-08-09 17:30:00, 8.354
2024-08-09 17:45:00, 8.362
2024-08-09 18:00:00, 8.368
2024-08-09 18:15:00, 8.378
2024-08-09 18:30:00, 8.383
2024-08-09 18:45:00, 8.386
2024-08-09 19:00:00, 8.395
2024-08-09 19:15:00, 8.397
2024-08-09 19:30:00, 8.402
2024-08-09 19:45:00, 8.404
2024-08-09 20:00:00, 8.406
2024-08-09 20:15:00, 8.41
2024-08-09 20:30:00, 8.41
2024-08-09 20:45:00, 8.413
2024-08-09 21:00:00, 8.412
2024-08-09 21:15:00, 8.414
2024-08-09 21:30:00, 8.411
2024-08-09 21:45:00, 8.409
2024-08-09 22:00:00, 8.41
2024-08-09 22:15:00, 8.405
2024-08-09 22:30:00, 8.403
2024-08-09 22:45:00, 8.4
2024-08-09 23:00:00, 8.394
2024-08-09 23:15:00, 8.391
2024-08-09 23:30:00, 8.389
2024-08-09 23:45:00, 8.386
2024-08-10 00:00:00, 8.379
2024-08-10 00:15:00, 8.378
2024-08-10 00:30:00, 8.372
2024-08-10 00:45:00, 8.365
2024-08-10 01:00:00, 8.364
2024-08-10 01:15:00, 8.355
2024-08-10 01:30:00, 8.351
2024-08-10 01:45:00, 8.348
2024-08-10 02:00:00, 8.343
2024-08-10 02:15:00, 8.339
2024-08-10 02:30:00, 8.333
2024-08-10 02:45:00, 8.328
2024-08-10 03:00:00, 8.323
2024-08-10 03:15:00, 8.314
2024-08-10 03:30:00, 8.311
2024-08-10 03:45:00, 8.302
2024-08-10 04:00:00, 8.298
2024-08-10 04:15:00, 8.293
2024-08-10 04:30:00, 8.286
2024-08-10 04:45:00, 8.284
2024-08-10 05:00:00, 8.276
2024-08-10 05:15:00, 8.272
2024-08-10 05:30:00, 8.268
2024-08-10 05:45:00, 8.259
2024-08-10 06:00:00, 8.257
2024-08-10 06:15:00, 8.253
2024-08-10 06:30:00, 8.251
2024-08-10 06:45:00, 8.246
2024-08-10 07:00:00, 8.242
2024-08-10 07:15:00, 8.236
2024-08-10 07:30:00, 8.232
2024-08-10 07:45:00, 8.23
2024-08-10 08:00:00, 8.228
2024-08-10 08:15:00, 8.225
2024-08-10 08:30:00, 8.221
2024-08-10 08:45:00, 8.218
2024-08-10 09:00:00, 8.214
2024-08-10 09:15:00, 8.21
2024-08-10 09:30:00, 8.209
2024-08-10 09:45:00, 8.206
2024-08-10 10:00:00, 8.205
2024-08-10 10:15:00, 8.203
2024-08-10 10:30:00, 8.2
2024-08-10 10:45:00, 8.197
2024-08-10 11:00:00, 8.202
2024-08-10 11:15:00, 8.2
2024-08-10 11:30:00, 8.196
2024-08-10 11:45:00, 8.193
2024-08-10 12:00:00, 8.189
2024-08-10 12:15:00, 8.186
2024-08-10 12:30:00, 8.182
2024-08-10 12:45:00, 8.179
2024-08-10 13:00:00, 8.173
2024-08-10 13:15:00, 8.169
2024-08-10 13:30:00, 8.167
2024-08-10 13:45:00, 8.163
2024-08-10 14:00:00, 8.16
2024-08-10 14:15:00, 8.155
2024-08-10 14:30:00, 8.154
2024-08-10 14:45:00, 8.146
2024-08-10 15:00:00, 8.143
2024-08-10 15:15:00, 8.14
2024-08-10 15:30:00, 8.132
2024-08-10 15:45:00, 8.128
2024-08-10 16:00:00, 8.126
2024-08-10 16:15:00, 8.124
2024-08-10 16:30:00, 8.115
2024-08-10 16:45:00, 8.112
2024-08-10 17:00:00, 8.107
2024-08-10 17:15:00, 8.104
2024-08-10 17:30:00, 8.099
2024-08-10 17:45:00, 8.096
2024-08-10 18:00:00, 8.091
2024-08-10 18:15:00, 8.087
2024-08-10 18:30:00, 8.083
2024-08-10 18:45:00, 8.078
2024-08-10 19:00:00, 8.07
2024-08-10 19:15:00, 8.066
2024-08-10 19:30:00, 8.06
2024-08-10 19:45:00, 8.057
2024-08-10 20:00:00, 8.053
2024-08-10 20:15:00, 8.048
2024-08-10 20:30:00, 8.044
2024-08-10 20:45:00, 8.041
2024-08-10 21:00:00, 8.037
2024-08-10 21:15:00, 8.032
2024-08-10 21:30:00, 8.028
2024-08-10 21:45:00, 8.021
2024-08-10 22:00:00, 8.021
2024-08-10 22:15:00, 8.016
2024-08-10 22:30:00, 8.012
2024-08-10 22:45:00, 8.007
2024-08-10 23:00:00, 8.004
2024-08-10 23:15:00, 7.999
2024-08-10 23:30:00, 7.998
2024-08-10 23:45:00, 7.994
2024-08-11 00:00:00, 7.991
2024-08-11 00:15:00, 7.99
2024-08-11 00:30:00, 7.981
2024-08-11 00:45:00, 7.986
2024-08-11 01:00:00, 7.99
2024-08-11 01:15:00, 7.993
2024-08-11 01:30:00, 7.996
2024-08-11 01:45:00, 7.998
2024-08-11 02:00:00, 8.001
2024-08-11 02:15:00, 8.005
2024-08-11 02:30:00, 8.008
2024-08-11 02:45:00, 8.014
2024-08-11 03:00:00, 8.022
2024-08-11 03:15:00, 8.034
2024-08-11 03:30:00, 8.042
2024-08-11 03:45:00, 8.049
2024-08-11 04:00:00, 8.057
2024-08-11 04:15:00, 8.066
2024-08-11 04:30:00, 8.074
2024-08-11 04:45:00, 8.084
2024-08-11 05:00:00, 8.094
2024-08-11 05:15:00, 8.112
2024-08-11 05:30:00, 8.154
2024-08-11 05:45:00, 8.17
2024-08-11 06:00:00, 8.184
2024-08-11 06:15:00, 8.2
2024-08-11 06:30:00, 8.217
2024-08-11 06:45:00, 8.232
2024-08-11 07:00:00, 8.253
2024-08-11 07:15:00, 8.273
2024-08-11 07:30:00, 8.3
2024-08-11 07:45:00, 8.321
2024-08-11 08:00:00, 8.349
2024-08-11 08:15:00, 8.383
2024-08-11 08:30:00, 8.415
2024-08-11 08:45:00, 8.454
2024-08-11 09:00:00, 8.494
2024-08-11 09:15:00, 8.539
2024-08-11 09:30:00, 8.586
2024-08-11 09:45:00, 8.64
2024-08-11 10:00:00, 8.692
2024-08-11 10:15:00, 8.748
2024-08-11 10:30:00, 8.8
2024-08-11 10:45:00, 8.855
2024-08-11 11:00:00, 8.911
2024-08-11 11:15:00, 8.965
2024-08-11 11:30:00, 9.018
2024-08-11 11:45:00, 9.071
2024-08-11 12:00:00, 9.121
2024-08-11 12:15:00, 9.169
2024-08-11 12:30:00, 9.214
2024-08-11 12:45:00, 9.256
2024-08-11 13:00:00, 9.296
2024-08-11 13:15:00, 9.334
2024-08-11 13:30:00, 9.371
2024-08-11 13:45:00, 9.402
2024-08-11 14:00:00, 9.431
2024-08-11 14:15:00, 9.46
2024-08-11 14:30:00, 9.486
